#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,4
1,5
2,24
3,5
4,44
5,16
6,25
7,20
8,23
9,42
10,18
11,29
12,46
13,7
14,1
15,29
16,27
17,35
18,8
19,20
20,14
21,47
22,48
23,31
24,39
25,29
26,14
27,18
28,20
29,12
30,7
31,38
32,15
33,22
34,27
35,1
36,45
37,11
38,8
39,16
40,33
41,33
42,37
43,34
44,41
45,1
46,5
47,47
48,34
49,34
#STORE_NO, DELIVERY_PRICE
0,5.4
1,4.54
2,4.75
3,4.84
4,5.33
5,5.53
6,4.3
7,4.94
8,5.98
9,5.32
10,5.47
11,4.71
12,4.9
13,4.91
14,4.16
15,5.23
16,4.52
17,5.04
18,4.86
19,4.87
20,4.05
21,4.61
22,4.57
23,4.45
24,5.32
25,4.29
26,4.32
27,4.02
28,5.61
29,4.62
30,4.65
31,5.63
32,4.72
33,4.94
34,5.14
35,4.93
36,4.46
37,5.36
38,4.65
39,3.88
40,4.99
41,5.59
42,4.23
43,4.85
44,5.3
45,5.54
46,4.89
47,4.39
48,4.33
49,5.05
50,5.22
51,5.4
52,6.26
53,4.73
54,5.37
55,4.97
56,4.85
57,4.07
58,5.36
59,5.57
60,5.03
61,5.1
62,5.29
63,4.1
64,4.23
65,5.26
66,5.92
67,4.69
68,4.81
69,4.64
70,4.31
71,4.49
72,4.53
73,4.86
74,5.6
75,4.99
76,4.68
77,5.2
78,4.95
79,4.67
80,5.61
81,5.78
82,5.24
83,4.07
84,5.58
85,5.22
86,4.64
87,4.38
88,4.54
89,4.31
90,4.71
91,4.97
92,4.87
93,5.11
94,4.9
95,4.27
96,5.24
97,5.56
98,5.05
99,4.61
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
0.0,0.0,0.0,26.97,0.0,0.0,0.0,22.86,0.0,22.52,22.3,0.0,0.0,0.0,22.34,20.59,0.0,22.52,0.0,0.0,0.0,0.0,0.0,20.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.49,0.0,20.83,0.0,20.52,23.24,0.0,27.18,0.0,0.0,21.21,21.45,22.59,22.16,25.19,20.17,20.65,18.92,21.83,
0.0,0.0,21.67,0.0,0.0,0.0,0.0,19.29,20.88,20.7,22.67,0.0,0.0,0.0,24.79,0.0,21.59,0.0,0.0,0.0,20.0,0.0,20.7,19.43,0.0,0.0,0.0,0.0,0.0,0.0,23.36,0.0,18.31,0.0,23.13,20.11,0.0,0.0,24.32,0.0,0.0,22.91,22.95,0.0,23.97,25.39,23.62,21.13,0.0,24.88,
17.83,0.0,0.0,23.7,0.0,25.29,0.0,21.06,22.54,0.0,0.0,25.2,19.55,25.21,21.56,0.0,22.77,22.04,18.7,0.0,24.89,21.92,0.0,25.08,24.68,0.0,23.52,21.18,24.13,20.78,0.0,0.0,27.37,0.0,22.56,21.66,0.0,25.56,23.64,0.0,0.0,19.15,23.79,25.38,19.41,24.16,24.75,0.0,22.31,24.3,
19.93,0.0,18.02,26.91,0.0,0.0,0.0,25.17,0.0,23.14,25.6,0.0,24.59,24.99,24.39,22.01,20.46,0.0,20.62,0.0,27.9,21.57,25.41,24.62,0.0,0.0,17.17,0.0,0.0,0.0,24.12,23.17,0.0,18.98,25.01,0.0,0.0,20.73,0.0,25.04,0.0,0.0,21.72,25.21,25.15,19.49,0.0,0.0,0.0,0.0,
23.62,23.33,24.25,19.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83,0.0,24.57,24.26,25.3,22.66,20.34,21.52,24.62,19.74,0.0,20.2,0.0,0.0,0.0,0.0,23.13,0.0,0.0,0.0,19.08,21.77,22.86,26.42,0.0,0.0,0.0,24.16,28.42,26.67,19.55,22.55,0.0,0.0,0.0,0.0,23.77,19.27,23.8,
21.21,25.21,27.6,0.0,22.67,0.0,0.0,24.17,24.03,0.0,22.95,23.17,0.0,19.92,25.75,0.0,25.94,23.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68,24.36,0.0,25.31,21.43,20.25,0.0,0.0,24.53,24.38,20.0,0.0,22.27,23.16,23.63,0.0,23.59,25.46,23.69,22.55,21.55,22.03,24.22,0.0,
21.51,21.06,24.54,23.41,0.0,25.62,20.38,23.34,19.01,23.42,0.0,21.66,0.0,24.73,0.0,0.0,20.78,25.03,21.33,0.0,0.0,22.17,18.86,21.9,0.0,0.0,20.85,0.0,29.25,0.0,22.31,0.0,0.0,23.36,24.48,0.0,0.0,0.0,0.0,0.0,0.0,18.8,23.09,17.46,19.44,24.76,0.0,19.3,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33,19.7,0.0,19.5,24.08,21.58,23.67,25.24,27.58,0.0,0.0,19.04,22.46,0.0,22.81,0.0,0.0,20.61,0.0,0.0,0.0,0.0,22.55,0.0,0.0,0.0,24.4,24.5,23.18,25.2,21.95,0.0,23.3,22.15,21.81,0.0,0.0,23.87,0.0,0.0,20.53,0.0,20.33,
22.67,0.0,0.0,0.0,0.0,21.57,0.0,0.0,20.48,20.28,20.88,24.83,23.67,24.71,24.15,23.5,0.0,20.45,0.0,23.64,19.74,17.97,21.77,22.25,0.0,23.13,24.8,0.0,22.54,21.98,0.0,22.67,0.0,21.28,0.0,23.86,20.15,0.0,0.0,20.7,0.0,20.58,0.0,0.0,23.51,0.0,20.89,20.42,20.91,21.17,
0.0,17.96,22.01,0.0,0.0,22.72,0.0,17.87,0.0,23.52,0.0,20.46,21.56,0.0,26.21,23.74,22.89,21.9,22.95,0.0,0.0,24.76,21.88,0.0,0.0,0.0,22.14,0.0,0.0,0.0,23.87,20.0,20.15,0.0,21.0,0.0,0.0,22.56,0.0,0.0,21.27,0.0,21.94,23.08,25.11,27.2,20.76,19.29,18.6,18.44,
