#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,31
1,22
2,46
3,36
4,13
5,44
6,20
7,35
8,27
9,22
10,9
11,44
12,40
13,49
14,9
15,45
16,16
17,38
18,4
19,23
20,11
21,23
22,21
23,36
24,35
25,2
26,3
27,32
28,8
29,11
30,14
31,48
32,11
33,28
34,34
35,5
36,29
37,1
38,18
39,49
40,38
41,30
42,41
43,40
44,45
45,8
46,45
47,29
48,13
49,42
#STORE_NO, DELIVERY_PRICE
0,4.58
1,4.82
2,4.86
3,4.5
4,5.24
5,4.76
6,5.44
7,5.03
8,4.34
9,5.22
10,4.1
11,5.29
12,4.62
13,5.48
14,5.54
15,4.92
16,5.08
17,4.57
18,4.47
19,5.37
20,4.96
21,5.65
22,5.06
23,4.72
24,4.93
25,4.59
26,4.73
27,5.66
28,5.31
29,5.43
30,5.61
31,4.78
32,4.94
33,4.83
34,5.38
35,4.38
36,5.52
37,4.11
38,4.62
39,4.65
40,4.77
41,5.19
42,4.65
43,5.56
44,5.05
45,4.36
46,5.28
47,5.91
48,5.42
49,5.35
50,5.03
51,4.56
52,5.32
53,4.64
54,4.74
55,4.82
56,5.29
57,5.66
58,5.11
59,4.95
60,4.69
61,4.27
62,4.46
63,4.53
64,4.73
65,5.37
66,4.63
67,4.34
68,5.37
69,4.93
70,6.21
71,4.83
72,5.73
73,5.1
74,5.16
75,5.15
76,4.73
77,5.43
78,4.8
79,5.77
80,5.07
81,5.18
82,4.47
83,5.14
84,5.66
85,5.51
86,6.74
87,5.11
88,5.57
89,5.26
90,4.82
91,5.15
92,4.75
93,4.54
94,4.95
95,5.99
96,5.69
97,4.25
98,4.33
99,5.45
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
20.22,25.13,0.0,22.46,27.56,0.0,21.31,21.28,22.05,22.51,0.0,26.6,25.63,0.0,22.89,22.05,0.0,22.97,0.0,24.35,21.28,25.51,25.75,22.99,24.73,24.53,0.0,28.0,21.69,24.11,0.0,24.2,0.0,0.0,19.02,19.2,0.0,23.75,0.0,0.0,0.0,24.39,0.0,0.0,24.23,0.0,24.18,0.0,0.0,0.0,
23.34,23.15,0.0,23.89,0.0,0.0,0.0,0.0,22.97,0.0,0.0,0.0,22.3,0.0,23.48,23.18,0.0,0.0,18.88,22.34,0.0,0.0,0.0,24.03,26.27,0.0,0.0,21.39,22.91,0.0,20.3,0.0,24.19,19.4,21.28,22.22,24.53,21.61,0.0,23.92,0.0,19.98,0.0,0.0,21.72,0.0,0.0,22.39,0.0,0.0,
19.66,0.0,21.2,0.0,22.52,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,25.47,25.1,0.0,24.42,0.0,23.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.39,0.0,0.0,0.0,0.0,0.0,0.0,22.36,0.0,0.0,0.0,22.27,0.0,0.0,22.94,0.0,0.0,17.34,18.3,18.84,22.03,23.08,0.0,22.26,
0.0,0.0,18.43,0.0,20.8,0.0,25.6,16.31,24.3,24.02,19.33,23.22,23.11,0.0,0.0,0.0,19.39,0.0,21.85,18.37,0.0,0.0,22.7,25.65,20.88,0.0,23.26,26.2,22.45,19.8,0.0,24.33,19.82,21.47,19.91,26.9,0.0,0.0,0.0,21.0,20.77,0.0,0.0,0.0,0.0,19.13,19.83,22.29,0.0,22.35,
0.0,0.0,23.5,21.25,0.0,25.53,0.0,0.0,21.83,0.0,0.0,22.18,0.0,21.34,22.59,0.0,20.0,0.0,0.0,23.09,18.6,23.79,0.0,0.0,21.47,17.4,21.01,21.6,24.03,23.34,18.16,19.47,0.0,0.0,21.67,0.0,0.0,22.27,0.0,19.92,0.0,21.96,0.0,24.55,0.0,0.0,21.3,27.18,22.54,24.84,
0.0,0.0,0.0,20.11,21.48,22.38,0.0,24.66,22.15,0.0,26.87,0.0,25.14,24.21,0.0,0.0,23.37,0.0,0.0,0.0,0.0,21.86,24.27,21.96,0.0,23.38,0.0,19.81,0.0,20.8,24.98,20.87,0.0,0.0,22.16,24.85,0.0,25.09,20.38,25.59,0.0,20.81,21.14,0.0,22.3,0.0,0.0,21.86,0.0,19.89,
20.15,0.0,20.54,0.0,24.9,0.0,23.33,0.0,20.24,0.0,23.72,24.99,0.0,0.0,24.03,21.27,22.57,0.0,21.55,21.47,22.47,26.17,21.82,0.0,20.99,0.0,24.48,0.0,0.0,24.71,24.59,19.66,22.66,0.0,19.4,0.0,0.0,0.0,0.0,0.0,22.0,26.79,18.2,0.0,0.0,24.63,0.0,0.0,0.0,21.15,
21.71,0.0,20.67,0.0,25.78,0.0,26.24,17.97,0.0,23.63,0.0,0.0,23.84,0.0,24.47,0.0,25.7,0.0,0.0,0.0,23.52,18.69,0.0,0.0,23.61,0.0,24.69,24.07,22.3,24.24,18.87,23.66,22.25,0.0,0.0,0.0,0.0,20.57,0.0,0.0,20.7,0.0,0.0,22.58,0.0,0.0,0.0,18.49,18.18,21.0,
0.0,0.0,0.0,0.0,24.68,0.0,0.0,22.29,19.38,22.52,20.8,0.0,20.69,26.17,21.62,0.0,23.59,0.0,19.11,0.0,0.0,23.09,23.78,27.31,20.57,0.0,20.42,22.03,21.74,0.0,0.0,0.0,0.0,22.65,0.0,22.02,22.41,0.0,25.85,0.0,28.27,0.0,20.9,23.59,0.0,0.0,22.3,0.0,23.43,0.0,
25.28,18.2,20.67,24.45,0.0,0.0,25.2,0.0,0.0,20.65,0.0,23.79,0.0,20.66,19.24,0.0,23.4,0.0,22.52,20.51,0.0,22.3,0.0,0.0,21.94,22.06,19.51,0.0,0.0,21.17,0.0,20.49,19.26,21.48,0.0,0.0,23.88,0.0,21.8,23.43,0.0,0.0,0.0,0.0,22.36,0.0,23.01,0.0,0.0,19.71,
