#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,15
1,24
2,10
3,36
4,9
5,5
6,29
7,30
8,6
9,42
10,2
11,44
12,39
13,35
14,23
15,4
16,28
17,14
18,39
19,17
20,25
21,42
22,15
23,21
24,27
25,10
26,43
27,17
28,22
29,8
30,50
31,26
32,7
33,45
34,13
35,48
36,15
37,33
38,8
39,4
40,4
41,10
42,33
43,17
44,42
45,9
46,25
47,3
48,40
49,20
#STORE_NO, DELIVERY_PRICE
0,5.48
1,5.45
2,4.38
3,5.22
4,4.95
5,5.23
6,5.15
7,5.41
8,4.68
9,5.2
10,4.86
11,5.23
12,4.61
13,4.71
14,5.98
15,4.51
16,5.11
17,5.22
18,5.66
19,5.41
20,4.24
21,4.92
22,5.73
23,4.4
24,4.99
25,3.72
26,5.61
27,5.78
28,4.48
29,4.72
30,4.2
31,5.47
32,4.68
33,4.69
34,4.51
35,4.75
36,5.28
37,5.71
38,4.62
39,5.0
40,5.27
41,4.81
42,5.06
43,4.15
44,5.36
45,6.08
46,4.93
47,4.93
48,4.69
49,5.62
50,4.6
51,5.28
52,4.56
53,4.86
54,3.78
55,4.87
56,4.33
57,5.5
58,4.57
59,4.96
60,3.93
61,5.08
62,4.97
63,4.84
64,4.79
65,4.53
66,4.34
67,4.96
68,4.95
69,5.75
70,4.97
71,5.73
72,5.57
73,4.49
74,4.75
75,5.32
76,3.82
77,5.3
78,3.79
79,4.97
80,4.82
81,6.01
82,5.58
83,5.27
84,4.62
85,5.26
86,4.54
87,4.26
88,5.24
89,4.75
90,5.67
91,5.15
92,4.02
93,5.39
94,4.73
95,4.93
96,5.56
97,5.4
98,5.1
99,4.05
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
24.63,22.87,21.33,23.48,20.22,0.0,0.0,0.0,0.0,24.89,0.0,0.0,0.0,0.0,0.0,0.0,20.19,21.89,25.2,20.52,19.47,25.38,0.0,18.78,0.0,22.69,0.0,0.0,23.84,0.0,22.26,0.0,20.74,0.0,0.0,24.37,0.0,22.79,0.0,18.49,0.0,0.0,25.3,24.16,19.31,21.47,0.0,0.0,23.13,25.59,
0.0,24.39,0.0,18.46,20.25,22.79,20.48,0.0,22.77,0.0,19.48,0.0,0.0,22.65,0.0,0.0,0.0,19.07,0.0,0.0,0.0,0.0,0.0,0.0,17.83,0.0,23.25,0.0,22.91,0.0,0.0,22.69,0.0,0.0,26.26,18.01,22.97,0.0,0.0,0.0,0.0,22.67,0.0,0.0,24.71,21.48,26.35,21.7,28.36,0.0,
0.0,20.01,22.0,0.0,21.91,0.0,21.85,0.0,21.06,24.46,24.78,22.8,24.2,0.0,0.0,0.0,25.91,0.0,0.0,0.0,0.0,23.29,25.58,16.84,21.65,19.72,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68,0.0,20.72,22.34,21.4,20.15,23.54,0.0,23.27,0.0,0.0,0.0,25.38,21.83,
0.0,21.77,22.43,0.0,22.35,22.06,0.0,0.0,0.0,0.0,22.33,0.0,21.17,0.0,20.33,21.21,23.73,20.22,25.08,23.1,19.59,23.01,21.5,0.0,0.0,0.0,24.46,20.21,20.4,24.77,22.67,23.57,19.35,24.7,0.0,19.13,20.36,0.0,0.0,15.49,0.0,18.14,0.0,23.32,26.96,18.96,0.0,0.0,0.0,24.67,
0.0,22.68,24.24,0.0,0.0,0.0,22.76,0.0,0.0,23.0,23.27,0.0,22.29,0.0,0.0,22.46,0.0,23.67,0.0,0.0,0.0,24.1,21.59,0.0,21.2,21.75,0.0,0.0,25.67,0.0,22.74,21.51,0.0,24.78,21.33,26.1,0.0,0.0,0.0,0.0,22.57,17.42,22.91,0.0,0.0,0.0,18.54,0.0,0.0,22.79,
0.0,27.87,0.0,0.0,20.38,23.16,21.81,0.0,0.0,0.0,0.0,25.44,0.0,25.69,0.0,0.0,27.22,18.81,18.09,0.0,0.0,26.72,26.05,23.89,21.03,20.87,0.0,0.0,21.76,0.0,20.02,0.0,0.0,23.42,19.82,22.08,20.21,0.0,0.0,22.09,19.68,0.0,22.09,0.0,23.94,24.97,0.0,0.0,0.0,0.0,
22.22,0.0,23.2,24.08,0.0,0.0,0.0,23.66,18.94,24.96,0.0,0.0,0.0,18.25,0.0,25.97,22.0,0.0,21.15,0.0,0.0,0.0,25.0,23.48,21.56,0.0,0.0,22.19,0.0,0.0,21.48,0.0,0.0,23.29,0.0,0.0,20.24,0.0,0.0,0.0,0.0,0.0,0.0,23.45,0.0,24.7,21.46,23.51,0.0,24.04,
0.0,0.0,0.0,0.0,0.0,20.54,26.32,0.0,0.0,0.0,24.1,23.93,0.0,0.0,0.0,19.93,0.0,0.0,20.0,23.62,0.0,0.0,20.4,0.0,21.27,23.81,25.19,21.11,0.0,0.0,0.0,0.0,0.0,18.32,22.15,22.67,0.0,25.88,18.75,0.0,0.0,18.5,22.8,19.74,23.15,22.89,22.53,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,23.82,0.0,23.36,21.04,0.0,0.0,23.97,23.44,23.23,0.0,29.04,0.0,0.0,21.84,0.0,23.19,25.19,0.0,0.0,20.44,0.0,20.42,0.0,21.08,21.52,24.53,22.28,0.0,25.58,0.0,0.0,0.0,0.0,0.0,19.92,0.0,26.1,18.31,0.0,22.93,18.29,0.0,24.64,25.37,
0.0,21.34,0.0,25.63,18.87,19.64,23.01,23.32,0.0,23.85,26.0,0.0,24.48,21.14,25.72,20.16,23.27,21.39,18.45,0.0,23.59,21.37,0.0,0.0,18.56,0.0,22.44,0.0,22.53,0.0,0.0,21.0,22.97,0.0,0.0,21.51,27.29,21.17,0.0,22.61,0.0,25.56,0.0,0.0,23.12,19.67,0.0,22.75,0.0,0.0,
