#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,13
1,22
2,13
3,37
4,19
5,25
6,36
7,50
8,31
9,20
10,48
11,4
12,7
13,33
14,41
15,33
16,11
17,50
18,18
19,3
20,25
21,47
22,38
23,34
24,24
25,8
26,31
27,13
28,13
29,49
30,10
31,40
32,36
33,12
34,31
35,25
36,8
37,13
38,28
39,43
40,48
41,17
42,38
43,22
44,34
45,6
46,31
47,34
48,19
49,7
#STORE_NO, DELIVERY_PRICE
0,5.42
1,4.09
2,5.66
3,5.04
4,4.81
5,5.52
6,5.34
7,5.19
8,5.23
9,5.34
10,4.75
11,5.56
12,4.52
13,5.28
14,5.62
15,5.3
16,5.23
17,5.28
18,4.63
19,4.96
20,4.65
21,4.19
22,5.04
23,4.53
24,5.44
25,4.62
26,4.95
27,4.93
28,4.88
29,5.34
30,5.58
31,4.86
32,5.59
33,5.15
34,4.94
35,5.68
36,5.36
37,5.14
38,5.03
39,5.09
40,4.98
41,4.61
42,4.21
43,4.03
44,5.72
45,4.82
46,5.13
47,4.95
48,5.34
49,5.42
50,6.18
51,5.25
52,5.64
53,4.74
54,5.22
55,4.1
56,5.15
57,4.74
58,4.09
59,4.79
60,5.43
61,4.54
62,4.87
63,4.52
64,5.58
65,5.14
66,4.95
67,4.57
68,5.09
69,4.69
70,4.85
71,4.93
72,4.38
73,5.45
74,4.82
75,5.31
76,4.75
77,5.42
78,4.61
79,4.91
80,5.06
81,5.55
82,5.34
83,4.96
84,4.72
85,5.17
86,5.67
87,5.32
88,4.78
89,4.89
90,5.2
91,6.0
92,4.9
93,4.16
94,4.6
95,5.24
96,4.88
97,4.88
98,4.86
99,4.31
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
0.0,25.35,21.86,0.0,0.0,28.2,0.0,19.53,0.0,0.0,0.0,0.0,20.84,19.41,19.16,19.15,0.0,19.78,0.0,0.0,18.09,21.48,21.79,0.0,0.0,21.21,23.08,0.0,18.83,22.18,0.0,22.25,0.0,23.08,0.0,0.0,23.79,22.25,0.0,0.0,20.6,24.59,21.75,0.0,24.42,0.0,22.83,20.55,20.48,0.0,
21.89,0.0,0.0,0.0,20.44,18.65,20.53,0.0,0.0,22.07,24.01,25.32,22.75,23.01,0.0,0.0,24.76,0.0,23.76,0.0,22.36,0.0,0.0,0.0,0.0,21.37,0.0,23.19,18.39,25.44,0.0,20.72,0.0,18.97,21.14,0.0,20.32,0.0,19.95,0.0,0.0,25.5,0.0,0.0,21.71,24.8,19.35,0.0,22.24,19.85,
29.15,0.0,0.0,22.59,22.43,24.26,0.0,23.51,22.95,20.3,0.0,0.0,21.18,22.77,22.35,0.0,0.0,22.14,0.0,0.0,0.0,0.0,23.12,0.0,0.0,26.05,0.0,17.79,26.43,25.03,0.0,0.0,0.0,0.0,0.0,21.29,0.0,21.52,0.0,21.47,23.83,0.0,23.07,0.0,26.33,21.39,24.87,20.49,21.86,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.09,21.58,0.0,0.0,25.09,0.0,18.76,0.0,23.81,27.52,0.0,20.57,0.0,0.0,24.9,0.0,0.0,23.53,21.96,24.93,20.02,18.63,22.83,21.46,0.0,21.81,22.53,0.0,24.31,21.52,19.6,0.0,20.45,0.0,21.45,19.69,0.0,19.53,19.56,0.0,0.0,
16.86,23.58,23.5,23.61,0.0,19.42,23.11,0.0,23.07,0.0,0.0,21.94,24.24,20.56,23.62,0.0,19.95,20.61,21.06,17.63,0.0,0.0,23.97,0.0,0.0,0.0,24.02,0.0,0.0,23.46,24.95,0.0,23.56,0.0,0.0,24.24,0.0,27.13,0.0,25.16,0.0,0.0,21.05,0.0,21.9,22.56,24.25,20.55,0.0,16.64,
24.15,25.47,24.59,23.43,0.0,25.37,23.66,22.87,18.93,20.74,0.0,0.0,20.74,0.0,0.0,0.0,21.25,22.2,21.49,20.71,20.28,0.0,0.0,24.45,16.56,0.0,21.2,21.38,0.0,24.39,0.0,0.0,0.0,0.0,20.44,0.0,0.0,0.0,0.0,22.69,18.6,0.0,0.0,0.0,0.0,16.25,20.03,27.12,19.93,19.59,
0.0,22.52,21.19,18.65,21.45,0.0,21.33,0.0,0.0,0.0,0.0,0.0,22.89,22.92,23.08,23.23,0.0,0.0,23.27,22.79,22.05,21.94,20.42,0.0,0.0,23.2,0.0,0.0,22.52,22.8,0.0,22.22,22.46,0.0,18.72,23.23,0.0,25.95,0.0,22.71,0.0,0.0,21.79,17.62,19.57,20.92,26.51,23.62,20.95,0.0,
20.6,0.0,20.86,22.48,0.0,0.0,0.0,20.76,20.67,23.67,24.78,0.0,0.0,0.0,0.0,0.0,23.66,0.0,0.0,0.0,19.54,24.88,0.0,21.91,20.04,0.0,25.47,24.62,0.0,0.0,26.0,25.59,0.0,0.0,21.46,0.0,0.0,0.0,21.8,0.0,0.0,0.0,26.93,19.84,22.05,0.0,0.0,0.0,26.72,23.92,
24.8,21.64,23.85,20.57,23.22,24.78,21.54,0.0,22.99,24.27,22.89,20.51,0.0,24.91,22.68,21.37,0.0,24.0,23.24,0.0,0.0,0.0,23.33,24.56,0.0,24.17,21.86,0.0,0.0,0.0,22.34,0.0,24.33,0.0,17.26,0.0,24.1,17.87,0.0,0.0,0.0,0.0,0.0,22.45,18.68,0.0,21.03,23.35,18.84,23.87,
0.0,0.0,21.69,24.05,21.93,20.95,0.0,22.86,0.0,23.97,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,21.14,22.25,21.03,24.07,21.43,0.0,0.0,0.0,21.48,24.88,0.0,0.0,21.59,0.0,0.0,21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82,22.97,20.75,27.26,0.0,
