1,6
2,8
3,5
4,1
5,10
6,7
7,1
8,9
9,3
10,1

1,13,6,17.97,1.10
2,20,7,43.05,2.02
3,10,9,37.60,4.78
4,18,3,28.12,1.47
5,25,1,13.19,4.80
6,22,1,6.24,7.57
7,14,6,15.20,7.58
8,23,10,20.42,9.73
9,21,8,23.03,2.66
10,17,4,11.88,8.83
9,22,10,9.50,7.57
3,12,1,49.45,.70
1,19,9,5.48,3.28
4,17,2,7.68,8.83
8,10,8,10.58,4.78
8,24,8,30.40,7.58
8,24,10,24.37,7.58
1,19,8,49.03,3.28
3,16,3,17.10,.90
9,15,8,33.03,3.64
10,9,6,43.31,7.59
7,22,4,33.93,7.57
1,22,1,30.75,7.57
2,7,8,40.32,2.28
7,2,3,36.89,4.94
6,7,8,35.83,2.28
2,3,7,33.12,1.39
8,13,8,37.39,1.10
7,22,8,27.65,7.57
2,16,4,43.35,.90
2,1,8,19.35,9.82
10,10,9,9.85,4.78
10,22,8,34.07,7.57
1,23,8,34.79,9.73
1,14,8,10.64,7.58
8,11,5,15.65,6.44
4,16,8,42.90,.90
7,23,1,13.06,9.73
7,19,7,39.44,3.28
6,17,3,8.18,8.83
6,15,1,35.25,3.64
5,12,6,21.18,.70
3,5,9,48.98,8.93
3,9,7,6.14,7.59
5,20,9,19.59,2.02
9,21,8,39.19,2.66
4,12,10,22.07,.70
9,5,5,10.58,8.93
6,11,5,48.90,6.44
2,14,6,45.02,7.58
10,7,5,43.59,2.28
9,2,1,47.36,4.94
2,5,3,30.24,8.93
2,18,9,16.54,1.47
10,1,8,8.78,9.82
2,21,5,13.61,2.66
4,5,6,19.65,8.93
7,9,4,49.80,7.59
8,18,2,10.07,1.47
1,9,8,26.61,7.59
3,10,4,43.82,4.78
6,16,10,7.01,.90
3,21,2,5.47,2.66
10,12,4,31.31,.70
9,18,4,31.22,1.47
1,13,10,7.54,1.10
1,25,8,13.31,4.80
6,24,8,31.85,7.58
8,7,7,12.36,2.28
7,18,8,40.94,1.47
8,25,7,47.79,4.80
1,14,5,11.50,7.58
7,19,5,24.94,3.28
7,10,8,22.82,4.78
2,4,10,5.94,5.62
7,8,7,16.96,3.40
9,24,7,36.16,7.58
4,13,4,49.43,1.10
6,15,5,32.71,3.64
2,18,5,16.67,1.47
6,17,10,36.24,8.83
8,10,7,25.27,4.78
7,20,5,36.95,2.02
5,14,3,32.03,7.58
3,16,6,9.99,.90
5,6,10,16.46,8.71
7,1,10,41.37,9.82
7,22,8,10.52,7.57
10,18,5,12.05,1.47
5,24,8,12.73,7.58
4,9,4,25.90,7.59
7,16,4,15.50,.90
9,23,9,30.50,9.73
6,17,5,26.52,8.83
3,5,9,8.78,8.93
3,12,9,36.18,.70
9,18,10,6.07,1.47
8,9,7,16.42,7.59
5,8,9,16.06,3.40
3,21,4,31.53,2.66
5,17,9,11.67,8.83
1,11,4,8.56,6.44
2,7,2,32.25,2.28
4,19,4,12.53,3.28
3,15,2,44.09,3.64
6,5,10,5.56,8.93
2,7,1,47.33,2.28
7,12,5,5.21,.70
4,7,5,21.04,2.28
10,15,7,44.03,3.64
2,15,3,33.97,3.64
9,21,7,23.66,2.66
2,11,6,27.80,6.44
10,19,1,47.03,3.28
1,20,8,50.09,2.02
3,24,9,36.65,7.58
2,24,10,36.15,7.58
4,17,2,22.43,8.83
9,3,8,31.75,1.39
8,2,4,35.76,4.94
2,23,9,26.12,9.73
1,18,4,17.35,1.47
9,17,10,23.12,8.83
9,21,3,24.86,2.66
3,19,9,16.95,3.28
