#NO_PRODUCTS, NO_STORES
10,25
#PRODUCT_NO, QUANTITY_TO_BUY
0,7
1,7
2,7
3,2
4,2
5,4
6,10
7,9
8,2
9,3
#STORE_NO, DELIVERY_PRICE
0,5.27
1,5.65
2,5.02
3,5.3
4,4.61
5,5.28
6,4.92
7,5.06
8,5.28
9,5.7
10,4.94
11,5.54
12,5.32
13,5.66
14,5.2
15,5.03
16,5.0
17,4.78
18,5.46
19,5.78
20,5.07
21,5.34
22,4.93
23,4.96
24,5.28
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
25.97,0.0,0.0,0.0,0.0,0.0,0.0,22.18,0.0,0.0,
0.0,0.0,21.4,26.76,24.36,23.58,0.0,0.0,0.0,0.0,
0.0,23.0,23.46,0.0,25.38,0.0,0.0,25.32,22.41,0.0,
0.0,23.2,0.0,0.0,0.0,0.0,20.76,0.0,0.0,0.0,
22.5,23.54,0.0,0.0,22.67,0.0,20.96,0.0,23.58,0.0,
0.0,25.92,24.34,0.0,22.35,0.0,21.11,0.0,0.0,0.0,
17.59,0.0,0.0,19.6,22.53,23.89,0.0,0.0,18.67,25.76,
0.0,0.0,0.0,17.82,25.92,20.72,0.0,23.04,23.78,0.0,
21.72,22.55,0.0,29.0,22.14,26.21,0.0,26.45,18.27,28.66,
26.77,26.14,0.0,0.0,0.0,0.0,0.0,20.13,22.87,0.0,
21.26,24.12,0.0,21.03,24.35,0.0,0.0,18.93,0.0,0.0,
22.54,0.0,0.0,0.0,0.0,0.0,21.88,22.45,23.35,0.0,
23.26,26.31,0.0,0.0,20.99,22.38,0.0,20.93,19.64,0.0,
25.2,0.0,22.69,0.0,19.04,0.0,16.92,22.6,26.24,25.37,
21.46,23.3,0.0,23.52,19.87,21.07,0.0,22.35,0.0,25.64,
0.0,21.14,0.0,0.0,23.37,22.13,21.39,18.75,22.04,23.88,
0.0,0.0,21.09,21.79,0.0,22.62,25.8,23.46,0.0,0.0,
0.0,0.0,0.0,21.29,24.67,0.0,19.76,0.0,0.0,23.57,
0.0,24.64,19.93,0.0,0.0,0.0,0.0,0.0,24.34,21.39,
0.0,22.16,28.44,0.0,0.0,20.88,0.0,0.0,0.0,21.93,
26.15,22.64,0.0,0.0,0.0,0.0,22.36,20.28,0.0,21.57,
0.0,18.73,19.81,0.0,16.52,20.1,0.0,0.0,21.28,21.62,
0.0,23.3,23.15,0.0,0.0,0.0,22.0,0.0,21.17,22.29,
26.67,0.0,20.49,0.0,20.89,24.43,0.0,0.0,0.0,24.27,
24.35,22.5,23.97,18.48,0.0,0.0,23.7,0.0,26.99,0.0,
#MATRIX OF AVAILABILITY (ROWS STORES - COLUMNS PRODUCTS)
1,0,0,0,0,0,0,4,0,0,
0,0,2,10,4,5,0,0,0,0,
0,1,8,0,10,0,0,4,6,0,
0,7,0,0,0,0,1,0,0,0,
5,3,0,0,2,0,7,0,2,0,
0,10,8,0,9,0,5,0,0,0,
1,0,0,7,7,1,0,0,8,8,
0,0,0,8,7,4,0,6,10,0,
3,2,0,10,10,2,0,7,10,9,
1,7,0,0,0,0,0,10,3,0,
7,3,0,3,4,0,0,7,0,0,
7,0,0,0,0,0,1,4,1,0,
5,2,0,0,6,10,0,8,6,0,
2,0,3,0,4,0,2,1,5,8,
5,1,0,8,2,8,0,7,0,8,
0,6,0,0,8,10,8,4,1,9,
0,0,5,2,0,10,7,6,0,0,
0,0,0,7,3,0,1,0,0,5,
0,1,10,0,0,0,0,0,1,9,
0,10,2,0,0,7,0,0,0,8,
5,10,0,0,0,0,4,8,0,2,
0,5,9,0,8,9,0,0,8,8,
0,3,6,0,0,0,4,0,9,4,
7,0,1,0,9,9,0,0,0,3,
5,7,5,9,0,0,2,0,5,0,
